(-2581.55550656793, -6523.348607303398, 1295.9973177960733)
(-2583.1076278291316, -6524.187945140155, 1288.7296536715944)
(-2584.6569099652293, -6525.020113537847, 1281.4605730032908)
(-2586.203352662241, -6525.845112343712, 1274.190077334811)
(-2587.746953194506, -6526.662940120397, 1266.9181795332318)
(-2589.2877098768117, -6527.473595995684, 1259.644887614719)
(-2590.8256220530548, -6528.277079638988, 1252.3702047414351)
(-2592.360686671745, -6529.073389474878, 1245.094145406316)
(-2593.8929034230014, -6529.8625253583805, 1237.8167111535429)
(-2595.4222692667736, -6530.644485742821, 1230.537916481488)
(-2596.948783554404, -6531.4192703150575, 1223.257764555084)
(-2598.4724442755996, -6532.186878071614, 1215.9762650188966)
(-2599.9932501038174, -6532.947308359643, 1208.6934242780715)
(-2601.511198699159, -6533.700560028064, 1201.4092536010182)
(-2603.0262880688765, -6534.446632111215, 1194.1237626373413)
(-2604.5385182417504, -6535.185524639311, 1186.836951313611)
(-2606.047886552567, -6535.917236323141, 1179.5488325233634)
(-2607.5543910167926, -6536.641766221337, 1172.259415921618)
(-2609.0580299901517, -6537.359113565589, 1164.9687095437453)
(-2610.5588024992817, -6538.069277909721, 1157.6767181815226)
(-2612.056706902014, -6538.772258491935, 1150.3834498717604)
(-2613.5517408960145, -6539.468054250201, 1143.0889158971474)
(-2615.043902848435, -6540.156664448498, 1135.793124299707)
(-2616.533192125381, -6540.838088810427, 1128.4960782504327)
(-2618.0196057733306, -6541.512326004885, 1121.1977922858591)
(-2619.503143492472, -6542.1793759142665, 1113.8982679550395)
(-2620.9838023408115, -6542.839237236246, 1106.5975197993819)
(-2622.46158169108, -6543.491909712129, 1099.29555099309)
(-2623.9364799272075, -6544.137392643935, 1091.9923695833256)
(-2625.4084944539145, -6544.775684918429, 1084.6879884942125)
(-2626.87762464781, -6545.406786286504, 1077.382410901434)
(-2628.3438685758324, -6546.030695936413, 1070.0756464821568)
(-2629.8072246380375, -6546.647413206618, 1062.7677032882884)
(-2631.267690910112, -6547.256937309618, 1055.4585910016406)
(-2632.7252667728153, -6547.859268004068, 1048.148312798208)
(-2634.1799493348663, -6548.454404117582, 1040.8368832416154)
(-2635.6317383049554, -6549.042345549799, 1033.5243038821284)
(-2637.080630804327, -6549.623091156921, 1026.2105892870727)
(-2638.5266268632904, -6550.19664096881, 1018.8957393807642)
(-2639.969722971154, -6550.762993615398, 1011.5797719894146)
(-2641.409918519416, -6551.322148884389, 1004.2626902940506)
(-2642.8472125757858, -6551.874106430268, 996.9444991017841)
(-2644.2816026083087, -6552.418865301936, 989.6252113635982)
(-2645.7130876927654, -6552.956425167695, 982.3048318867343)
(-2647.141664991692, -6553.4867849897855, 974.9833752556937)
(-2648.567334538316, -6554.009944802631, 967.6608413943235)
(-2649.990094454882, -6554.52590393401, 960.3372400017621)
(-2651.4099425567388, -6555.034661612974, 953.0125824061638)
(-2652.826877294499, -6555.536217311726, 945.6868766819455)
(-2654.2408974397376, -6556.030570618701, 938.3601292716825)
(-2655.652002076809, -6556.517721231857, 931.0323449892737)
(-2657.0601890355056, -6556.9976684208095, 923.7035351700741)
(-2658.4654564671464, -6557.470411580127, 916.3737095210805)
(-2659.867803151021, -6557.935950324598, 909.042874490669)
(-2661.267227247165, -6558.394284067774, 901.7110397876215)
(-2662.6637278516505, -6558.845412536484, 894.378210229661)
(-2664.0573034394924, -6559.289335256772, 887.0443938964914)
(-2665.44795186844, -6559.726051570761, 879.7096021343897)
(-2666.8356716252933, -6560.155561029773, 872.3738430252497)
(-2668.2204618130813, -6560.577863380121, 865.0371213899792)
(-2669.6023209194213, -6560.992958180037, 857.6994453127824)
(-2670.981246515839, -6561.400844726064, 850.360827776564)
